CODCURSO,NOMBRECURSO,DEPARTAMENTO,MATRICULADOS,PREMATRICULADOS,CICLO
EG0003,Matemáticas I,Departamento de Ciencias,440,54,2020 - 2
EL4002,Modelado y Simulación,Departamento de Electrónica,104,102,2020 - 2
BI0025,Bioinformática y Bioestadística,Departamento de Bioingeniería,30,30,2020 - 2
MT0002,Sensores y Actuadores,Departamento de Mecatrónica,29,30,2020 - 2
EL6005,Seminario de ECE,Departamento de Electrónica,29,20,2020 - 2
CS2100,Algoritmos y Estructura de datos,Departamento de Computer Science,53,30,2020 - 2
GH0019,Emprendedores en Acción,Dirección de Humanidades Artes y Ciencias Sociales,45,37,2020 - 2
GH0015,Imagen y Marca Personal,Dirección de Humanidades Artes y Ciencias Sociales,143,140,2020 - 2
GH0006,Laboratorio de Comunicación 2,Dirección de Humanidades Artes y Ciencias Sociales,441,356,2020 - 2
EG0007,Proyecto Interdisciplinario I,Jefatura de Proyectos Académicos,254,214,2020 - 2
ME3003,Estática,Departamento de Mecánica,52,24,2020 - 2
ME0028,Automatización de Sistemas,Departamento de Mecánica,16,18,2020 - 2
EL7006,Instrumentación industrial,Departamento de Electrónica,17,16,2020 - 2
EN0031,Mercados e incentivos de Carbono,Departamento de Energía,15,13,2020 - 2
CS2S01,Sistemas Operativos,Departamento de Computer Science,42,30,2020 - 2
CS2B01,Desarrollo basado en plataformas,Departamento de Computer Science,46,35,2020 - 2
QI0003,Mineralogía Aplicada,Departamento de Química,8,14,2020 - 2
BI0026,Biomateriales,Departamento de Bioingeniería,29,30,2020 - 2
EL0044,Sistemas Industriales de Control,Departamento de Electrónica,9,9,2020 - 2
AM0013,Agua y tratamiento de aguas residuales,Departamento de Ingeniería Ambiental,8,8,2020 - 2
QI0045,Control de Procesos Químicos,Departamento de Química,12,6,2020 - 2
ME0034,Tecnología de los Materiales Aplicada,Departamento de Mecánica,17,22,2020 - 2
EN0025,Planificación y Economía de la Energía,Departamento de Energía,6,6,2020 - 2
AM0011,Leyes y derechos ambientales,Departamento de Ingeniería Ambiental,27,22,2020 - 2
BI0027,Biomecánica,Departamento de Bioingeniería,28,25,2020 - 2
ME0037,Ingeniería de Materiales,Departamento de Mecánica,22,19,2020 - 2
CI0001,Introducción a la Ingeniería Civil,Departamento de Civil,21,14,2020 - 2
BI0002,Biología Celular y Molecular,Departamento de Bioingeniería,32,31,2020 - 2
EL0065,Circuitos Eléctricos,Departamento de Electrónica,10,10,2020 - 2
IN8004,Sistemas de Información para Operaciones,Departamento de Industrial,12,12,2020 - 2
EG0013,Proyecto Preprofesional,Jefatura de Proyectos Académicos,54,54,2020 - 2
ME0038,Tesis II,Departamento de Mecánica,3,3,2020 - 2
CS2100,Algoritmos y Estructura de datos,Departamento de Computer Science,12,12,2021 - 0
EG0006,Matemáticas III,Departamento de Ciencias,43,42,2021 - 0
AM0037,Ciencia de los Materiales,Departamento de Ciencias,38,45,2021 - 0
AM0038,Hidrología,Departamento de Ingeniería Ambiental,14,14,2021 - 1
AM0005,"Edafologia, manejo y conservacion de suelos",Departamento de Ingeniería Ambiental,22,22,2021 - 1
AD1101,Tendencias en tecnología,Administración & Negocios Digitales,47,47,2021 - 1
CS1021,Matemáticas Discretas I,Departamento de Computer Science,192,7,2021 - 1
ME4003,Mecánica de Fluidos,Departamento de Mecánica,106,83,2021 - 1
CS3101,Programación Competitiva,Departamento de Computer Science,27,25,2021 - 1
QI0046,Tesis II,Departamento de Química,4,4,2021 - 1
EN0024,Marco Legal y Politica Energética,Departamento de Energía,16,12,2021 - 1
IN8006,Análisis y Diseño de Sistemas de Manufactura y Servicios,Departamento de Industrial,58,49,2021 - 1
IN0081,Modelado y Simulación de Procesos de Negocio,Departamento de Industrial,44,37,2021 - 1
QI0044,Seminario en Ingeniería Química,Departamento de Química,9,7,2021 - 1
CI1001,Introducción a la Ingeniería Civil,Departamento de Civil,74,1,2021 - 1
ME3003,Estática,Departamento de Mecánica,102,85,2021 - 1
QI0045,Control de Procesos Químicos,Departamento de Química,8,8,2021 - 1
IN0075,Diseño y Gestión de Servicios,Departamento de Industrial,44,40,2021 - 1
CS2S01,Sistemas Operativos,Departamento de Computer Science,44,35,2021 - 1
IN0065,Simulación de Operaciones,Departamento de Industrial,39,32,2021 - 1
ME0036,Tópicos Selectos de Ingeniería Mecánica,Departamento de Mecánica,12,11,2021 - 1
EL0046,Ingeniería Electromagnética,Departamento de Electrónica,10,7,2021 - 1
AM0014,Monitoreo ambiental,Departamento de Ingeniería Ambiental,14,10,2021 - 1
ME0035,Seminario de proyecto pre profesional,Departamento de Mecánica,21,10,2021 - 1
EL0006,Control de Sistemas no Lineales,Departamento de Electrónica,11,14,2021 - 1
CS2201,Arquitectura de computadoras,Departamento de Computer Science,60,47,2021 - 1
EG0013,Proyecto Preprofesional,Jefatura de Proyectos Académicos,1,1,2021 - 0
ME0037,Ingeniería de Materiales,Departamento de Mecánica,17,11,2021 - 1
CS2101,Teoría de la computación,Departamento de Computer Science,27,26,2021 - 1
EL0065,Circuitos Eléctricos,Departamento de Electrónica,17,12,2021 - 1
CI0006,Resistencia de Materiales I,Departamento de Civil,13,10,2021 - 1
CI0003,Tecnologías Aplicadas y Mega Proyectos en Ingeniería Civil,Departamento de Civil,25,21,2021 - 1
EN3004,Ingeniería Eléctrica,Departamento de Energía,13,8,2021 - 1
EG3003,Inglés II,Dirección de Humanidades Artes y Ciencias Sociales,15,15,2014 - 0
IN2002,Programación y Tecnología de la Información,Departamento de Industrial,7,7,2014 - 0
EG3003,Inglés II,Dirección de Humanidades Artes y Ciencias Sociales,114,114,2014 - 1
QI5002,Química Analítica,Departamento de Química,5,5,2014 - 1
EL5001,Circuitos Digitales ,Departamento de Electrónica,17,17,2014 - 1
ME2001,Procesos de Manufactura,Departamento de Mecánica,11,11,2014 - 1
IN6001,Práctica I - IN,Departamento de Industrial,31,31,2014 - 2
EG4001,Inglés III ,Dirección de Humanidades Artes y Ciencias Sociales,69,69,2014 - 2
IN4002,Investigación de Operaciones II,Departamento de Industrial,34,34,2014 - 2
EL6003,Control Automático,Departamento de Electrónica,6,6,2014 - 2
EL6001,Práctica I - EL,Departamento de Electrónica,4,4,2014 - 2
EG4004,Gestión del Capital Humano ,Dirección de Humanidades Artes y Ciencias Sociales,4,4,2014 - 2
EG3004,Taller de Arte y Tecnología I,Dirección de Humanidades Artes y Ciencias Sociales,7,7,2015 - 0
ME2001,Procesos de Manufactura,Departamento de Mecánica,5,5,2015 - 0
EG2003,Comunicación Oral y Escrita II,Dirección de Humanidades Artes y Ciencias Sociales,20,20,2015 - 0
EG6002,Taller de arte y tecnología IV,Dirección de Humanidades Artes y Ciencias Sociales,4,4,2015 - 0
EG3001,Ecuaciones Diferenciales,Departamento de Ciencias,32,32,2013 - 2
EG3002,Procesos Históricos y Económicos del Perú y del Mundo Contemporáneo,Dirección de Humanidades Artes y Ciencias Sociales,52,52,2013 - 2
IN4001,Análisis y Diseño del Trabajo,Departamento de Industrial,40,40,2013 - 2
EG2003,Comunicación Oral y Escrita II,Dirección de Humanidades Artes y Ciencias Sociales,26,26,2013 - 1
EG2002,Física II,Dirección de Ciencias,20,20,2013 - 1
EG3004,Taller de Arte y Tecnología I,Dirección de Humanidades Artes y Ciencias Sociales,35,35,2013 - 1
QI3001,Química Orgánica,Departamento de Química,16,16,2013 - 1
GG2001,Comunicación Oral y Escrita,Departamento de Ciencias,19,19,2013 - 0
SE2000,Electricidad y Magnetismo.,Departamento de Energía,14,14,2013 - 0
MM2000,Tecnología de Materiales,Departamento de Mecánica,178,178,2012 - 2
QM2000,Química General,Departamento de Química,177,177,2012 - 2
GG1003,Comunicación y Excelencia Personal,Departamento de Ciencias,224,224,2012 - 1
EG3001,Ecuaciones Diferenciales,Departamento de Ciencias,141,141,2015 - 1
IN3001,Investigación de Operaciones I,Departamento de Industrial,35,35,2015 - 1
EG4004,Gestión del Capital Humano ,Dirección de Humanidades Artes y Ciencias Sociales,25,25,2015 - 1
ME7002,Diseño de elementos de máquinas II ,Departamento de Mecánica,5,5,2015 - 1
ME4001,Ciencia de los Materiales,Departamento de Ciencias,58,58,2015 - 1
EG2001,Cálculo II,Dirección de Ciencias,51,51,2015 - 1
EG5003,Antropología,Dirección de Humanidades Artes y Ciencias Sociales,89,89,2015 - 1
IN7001,Planificación y control de la producción,Departamento de Industrial,32,32,2015 - 1
QI0005,Desarrollo sustentable,Departamento de Química,10,10,2015 - 1
QI6004,Taller de innovación y proyectos - QI,Departamento de Química,3,3,2015 - 1
EL5004,Sistemas eléctricos y electrónicos,Departamento de Electrónica,25,25,2015 - 1
QI7001,Cinética y Diseño de Reactores,Departamento de Química,6,6,2015 - 1
QI7002,Flujo de Fluídos y Partículas,Departamento de Química,7,7,2015 - 1
EG4003,Estadística y Probabilidades ,Departamento de Ciencias,47,47,2015 - 1
IN4002,Investigación de Operaciones II,Departamento de Industrial,20,20,2015 - 1
QI1002,Transformaciones Químicas de la Materia,Departamento de Química,22,22,2015 - 2
EL4001,Circuitos Analógicos,Departamento de Electrónica,18,18,2015 - 2
EG4004,Gestión del Capital Humano ,Dirección de Humanidades Artes y Ciencias Sociales,19,19,2015 - 2
EG5002,Taller de arte y tecnología III,Dirección de Humanidades Artes y Ciencias Sociales,57,57,2015 - 2
EG4002,Taller de Arte y Tecnología II,Dirección de Humanidades Artes y Ciencias Sociales,94,94,2015 - 2
EG5003,Antropología,Dirección de Humanidades Artes y Ciencias Sociales,22,22,2015 - 2
ME4002,Elementos de Máquinas ,Departamento de Mecánica,36,36,2015 - 2
QI4001,Fisicoquímica,Departamento de Química,7,7,2015 - 2
QI5001,Balance de materia y energía,Departamento de Química,11,11,2015 - 2
IN5002,Procesos de Fabricación Industrial,Departamento de Industrial,16,16,2015 - 2
QI6002,Termodinámica Química,Departamento de Química,5,5,2015 - 2
EN8002,Sistemas Eléctricos de Potencia ,Departamento de Energía,7,7,2015 - 2
EL7003,Control de procesos,Departamento de Electrónica,3,3,2015 - 2
CC1002,Mecánica,Departamento de Ciencias,385,385,2016 - 1
GH1002,Arte y Tecnología,Dirección de Humanidades Artes y Ciencias Sociales,401,401,2016 - 1
EL1001,Taller de Introducción a la Ingeniería,Departamento de Mecánica,282,282,2016 - 1
IN7005,Planeamiento y Control de Operaciones,Departamento de Industrial,29,29,2016 - 1
ME7005,Diseño de Elementos de Máquinas,Departamento de Mecánica,8,8,2016 - 1
ME4003,Mecánica de Fluidos,Departamento de Mecánica,24,24,2016 - 1
EN7004,Química y Física del Medio Ambiente,Departamento de Energía,4,4,2016 - 1
QI4001,Fisicoquímica,Departamento de Química,12,12,2016 - 1
EL7002,Instrumentación industrial,Departamento de Electrónica,12,12,2016 - 1
ME3003,Estática,Departamento de Mecánica,44,44,2016 - 1
EN3002,Circuitos Eléctricos,Departamento de Electrónica,33,33,2016 - 1
ME5004,Circuitos y Máquinas Eléctricas,Departamento de Mecánica,37,37,2016 - 1
GH3002,Inglés II,Dirección de Humanidades Artes y Ciencias Sociales,38,38,2016 - 1
QI3001,Química Orgánica,Departamento de Química,21,21,2016 - 1
IN0030,Sistemas de Control y Automatización de Procesos,Departamento de Industrial,11,11,2016 - 1
QI0008,Concentración de Minerales,Departamento de Química,3,3,2016 - 1
EG6003,Gestión de la Calidad,Dirección de Humanidades Artes y Ciencias Sociales,19,19,2016 - 0
EG4002,Taller de Arte y Tecnología II,Dirección de Humanidades Artes y Ciencias Sociales,13,13,2016 - 0
EN8004,Auditoría y Eficiencia Energética,Departamento de Energía,11,11,2016 - 1
IN0052,Supply Management and e-Procurement,Departamento de Industrial,37,37,2016 - 2
ME5005,Laboratorio de Ciencia de los Materiales,Departamento de Mecánica,28,28,2016 - 2
IN4004,Modelos Probabilisticos: Simulación y Optimización,Departamento de Industrial,22,22,2016 - 2
ME4007,Materiales para Ingeniería,Departamento de Mecánica,24,24,2016 - 2
ME0007,Equipos y maquinaria minera,Departamento de Mecánica,5,5,2016 - 2
ME0012,Planificación Minera,Departamento de Mecánica,14,14,2016 - 2
EN5002,Ingeniería del Gas Natural,Departamento de Energía,10,10,2016 - 2
EL4003,Circuitos Digitales,Departamento de Electrónica,29,29,2016 - 2
EL5005,Diseño de Computadoras,Departamento de Electrónica,11,11,2016 - 2
EN4002,Electrónica de Potencia para Sistemas Energéticos,Departamento de Energía,12,12,2016 - 2
QI7005,Termodinámica Química,Departamento de Química,5,5,2016 - 2
GH8003,Taller de Proyectos de Ingeniería IV,Dirección de Humanidades Artes y Ciencias Sociales,29,29,2016 - 2
ME8005,Diseño de Sistemas Mecánicos,Departamento de Mecánica,9,9,2016 - 2
GH2001,Inglés I,Dirección de Humanidades Artes y Ciencias Sociales,97,97,2016 - 2
IN7005,Planeamiento y Control de Operaciones,Departamento de Industrial,3,3,2016 - 2
EN6004,Energía Solar y Eólica,Departamento de Energía,2,2,2016 - 2
EL0007,Procesamiento de Imágenes Digitales,Departamento de Electrónica,5,5,2016 - 2
EL0052,Sistemas Embebidos Interconectados,Departamento de Electrónica,5,5,2016 - 2
EN0034,Subestaciones y lineas de transmisión,Departamento de Energía,4,4,2017 - 1
GHN001,Comunicación  0,Centro preuniversitario,15,15,2017 - 0
CCN001,Matemáticas 0,Departamento de Ciencias,152,152,2017 - 1
CS1D01,Estructuras Discretas I,Departamento de Computer Science,80,80,2017 - 1
GHN003,Inglés 0,Dirección de Humanidades Artes y Ciencias Sociales,48,48,2017 - 0
GH4002,Inglés III,Dirección de Humanidades Artes y Ciencias Sociales,87,87,2017 - 1
EG0005,Matemáticas II,Departamento de Ciencias,146,146,2017 - 1
GH0011,Innovación y Desarrollo de Productos,Dirección de Gestión,13,13,2017 - 1
EL8005,Redes industriales,Departamento de Electrónica,5,5,2017 - 1
ME6006,Mecánica de Materiales,Departamento de Mecánica,34,34,2017 - 1
QI6005,Transferencia de calor,Departamento de Química,40,40,2017 - 1
ME0033,Mecánica de Fluidos Aplicada,Departamento de Mecánica,29,29,2017 - 1
EL6006,Electrónica de Potencia,Departamento de Electrónica,9,9,2017 - 1
IN0057,Seguridad y Salud Ocupacional,Departamento de Industrial,8,8,2017 - 1
EN3004,Ingeniería Eléctrica,Departamento de Energía,23,23,2017 - 1
EN0020,Smart Grid,Departamento de Energía,2,2,2017 - 1
EN0015,Ingeniería de reservorios,Departamento de Energía,9,9,2017 - 2
GH0015,Imagen y Marca Personal,Dirección de Humanidades Artes y Ciencias Sociales,149,149,2017 - 2
ME6006,Mecánica de Materiales,Departamento de Mecánica,50,50,2017 - 2
GH0012,Economías en Desarrollo,Dirección de Humanidades Artes y Ciencias Sociales,115,115,2017 - 2
ME0028,Automatización de Sistemas,Departamento de Mecánica,41,41,2017 - 2
MT0003,Sistemas Hidráulicos y Neumáticos,Departamento de Mecatrónica,39,39,2017 - 2
ME8006,Ingeniería de Mantenimiento,Departamento de Mecánica,12,12,2017 - 2
QI8003,Operaciones de Separación,Departamento de Química,4,4,2017 - 2
EG0005,Matemáticas II,Departamento de Ciencias,382,382,2017 - 2
QI0030,Procesos Químicos en la Industria,Departamento de Química,14,14,2017 - 2
QI0029,Química Avanzada,Departamento de Química,7,7,2017 - 2
GH0010,Ética y tecnología,Dirección de Humanidades Artes y Ciencias Sociales,61,61,2018 - 0
GH0016,Liderazgo y negociación,Dirección de Gestión,15,15,2018 - 0
EN0024,Marco Legal y Politica Energética,Departamento de Energía,15,15,2018 - 0
CCN001,Matemáticas 0,Departamento de Ciencias,13,13,2018 - 0
IN6008,Tecnologías y Procesos de Fabricación,Departamento de Industrial,16,9,2018 - 1
EL9002,Introducción a Cognitive Computing,Departamento de Electrónica,10,2,2018 - 1
CS2B01,Desarrollo basado en plataformas,Departamento de Computer Science,52,34,2018 - 1
GH0015,Imagen y Marca Personal,Dirección de Humanidades Artes y Ciencias Sociales,113,82,2018 - 1
ME4003,Mecánica de Fluidos,Departamento de Mecánica,46,11,2018 - 1
BI0022,Nanotecnología,Departamento de Bioingeniería,8,10,2018 - 1
EL0046,Ingeniería Electromagnética,Departamento de Electrónica,6,3,2018 - 1
EN0022,Hidroenergía,Departamento de Energía,11,5,2018 - 1
GH1002,Arte y Tecnología,Dirección de Humanidades Artes y Ciencias Sociales,315,134,2018 - 1
EN6004,Energía Solar y Eólica,Departamento de Energía,14,9,2018 - 1
QI0001,Tesis en Ingeniería Química II,Departamento de Química,3,3,2018 - 1
EN0030,Biomasa y Geotermia,Departamento de Energía,14,2,2018 - 1
GH0007,Introducción al Desarrollo de Empresas,Dirección de Gestión,445,384,2018 - 2
EG0006,Matemáticas III,Departamento de Ciencias,130,127,2018 - 2
EN0031,Mercados e incentivos de Carbono,Departamento de Energía,6,10,2018 - 2
AM0002,Fisica y quimica ambiental,Departamento de Ingeniería Ambiental,20,20,2018 - 2
IN4004,Modelos Probabilisticos: Simulación y Optimización,Departamento de Industrial,13,11,2018 - 2
QI0001,Tesis en Ingeniería Química II,Departamento de Química,2,3,2018 - 2
IN0078,Gestión de Inventarios,Departamento de Industrial,19,15,2018 - 2
CS2201,Arquitectura de computadoras,Departamento de Computer Science,24,19,2018 - 2
IN0059,Diseño de Experimentos y Control Estadístico de Procesos,Departamento de Industrial,18,12,2018 - 2
QI9005,Diseño de Procesos y Plantas,Departamento de Química,4,2,2018 - 2
GH0009,Perú: ¿País Industrial?,Dirección de Humanidades Artes y Ciencias Sociales,90,90,2019 - 0
EG0003,Matemáticas I,Departamento de Ciencias,101,101,2019 - 0
GH0016,Liderazgo y negociación,Dirección de Gestión,43,43,2019 - 0
GH0005,Laboratorio de Comunicación 1,Dirección de Humanidades Artes y Ciencias Sociales,339,47,2019 - 1
CS1D01,Estructuras Discretas I,Departamento de Computer Science,110,6,2019 - 1
AM0037,Ciencia de los Materiales,Departamento de Ciencias,186,144,2019 - 1
GH0009,Perú: ¿País Industrial?,Dirección de Humanidades Artes y Ciencias Sociales,255,218,2019 - 1
ME0022,Dinámica,Departamento de Mecánica,45,33,2019 - 1
ME8006,Ingeniería de Mantenimiento,Departamento de Mecánica,24,12,2019 - 1
QI8003,Operaciones de Separación,Departamento de Química,9,9,2019 - 1
EL5002,Análisis de Señales y Sistemas,Departamento de Electrónica,70,64,2019 - 1
EN0017,Operación e ingeniería de producción,Departamento de Energía,23,22,2019 - 1
GH0019,Emprendedores en Acción,Dirección de Humanidades Artes y Ciencias Sociales,29,32,2019 - 1
QI9005,Diseño de Procesos y Plantas,Departamento de Química,11,10,2019 - 1
CS1102,Programación orientada a objetos I,Departamento de Ciencias,173,154,2019 - 1
CS2101,Teoría de la computación,Departamento de Computer Science,27,24,2019 - 1
CS3402,Compiladores,Departamento de Computer Science,20,19,2019 - 1
QI7005,Termodinámica Química,Departamento de Química,10,13,2019 - 1
IN0054,Estadística y Probabilidades,Departamento de Ciencias,153,137,2019 - 2
GH0010,Ética y tecnología,Dirección de Humanidades Artes y Ciencias Sociales,202,156,2019 - 2
GH0006,Laboratorio de Comunicación 2,Dirección de Humanidades Artes y Ciencias Sociales,324,193,2019 - 2
CS2100,Algoritmos y Estructura de datos,Departamento de Computer Science,46,36,2019 - 2
AM0037,Ciencia de los Materiales,Departamento de Ciencias,315,286,2019 - 2
QI0027,Química General,Departamento de Ciencias,247,2,2019 - 2
EL0075,Introducción a las Comunicaciones,Departamento de Electrónica,15,9,2019 - 2
IN0074,Diseño de Redes de Cadenas de Suministro,Departamento de Industrial,25,21,2019 - 2
ME0008,Gestión de Equipos y Maquinarias,Departamento de Mecánica,30,19,2019 - 2
GH0024,Crítica de la Modernidad,Dirección de Humanidades Artes y Ciencias Sociales,117,115,2019 - 2
ME8006,Ingeniería de Mantenimiento,Departamento de Mecánica,15,11,2019 - 2
IN0062,Diseño de Productos y Servicios,Departamento de Industrial,24,24,2019 - 2
AM0013,Agua y tratamiento de aguas residuales,Departamento de Ingeniería Ambiental,12,13,2019 - 2
QI0008,Concentración de Minerales,Departamento de Química,4,4,2019 - 1
CI0003,Tecnologías Aplicadas y Mega Proyectos en Ingeniería Civil,Departamento de Civil,25,21,2019 - 2
GHN004,Laboratorio de Comunicación 0,Jefatura de Procesos Académicos de Admisión,62,62,2019 - 2
BI0004,Bioquímica,Departamento de Bioingeniería,10,11,2019 - 2
CI0002,Geometría Descriptiva,Departamento de Civil,16,8,2019 - 2
GH0006,Laboratorio de Comunicación 2,Dirección de Humanidades Artes y Ciencias Sociales,45,45,2020 - 0
ME0022,Dinámica,Departamento de Mecánica,33,33,2020 - 0
EG0003,Matemáticas I,Departamento de Ciencias,61,61,2020 - 0
ME3003,Estática,Departamento de Mecánica,22,22,2020 - 0
ME0036,Tópicos Selectos de Ingeniería Mecánica,Departamento de Mecánica,7,7,2020 - 0
CS1100,Introducción a la Ciencia de la Computación,Departamento de Ciencias,650,75,2020 - 1
ME0019,Física I,Departamento de Ciencias,640,151,2020 - 1
GH0006,Laboratorio de Comunicación 2,Dirección de Humanidades Artes y Ciencias Sociales,270,202,2020 - 1
ME0036,Tópicos Selectos de Ingeniería Mecánica,Departamento de Mecánica,13,15,2020 - 1
MT0001,Mecanismos y Transmisión de Movimiento,Departamento de Mecatrónica,26,19,2020 - 1
QI0045,Control de Procesos Químicos,Departamento de Química,13,4,2020 - 1
IN0058,Procesos de Manufactura,Departamento de Industrial,69,77,2020 - 1
ME0001,Introducción a la Ingeniería de Minas,Departamento de Mecánica,36,30,2020 - 1
ME0012,Planificación Minera,Departamento de Mecánica,11,4,2020 - 1
EG0007,Proyecto Interdisciplinario I,Jefatura de Proyectos Académicos,223,198,2020 - 1
IN0065,Simulación de Operaciones,Departamento de Industrial,47,30,2020 - 1
EN0035,Ingeniería de procesos de los hidrocarburos,Departamento de Energía,18,23,2020 - 1
BI0005,Biotransporte,Departamento de Bioingeniería,10,12,2020 - 1
AM0004,Ecología y Recursos Naturales,Departamento de Ingeniería Ambiental,24,22,2020 - 1
CS3102,Estructura de datos avanzados,Departamento de Computer Science,22,25,2020 - 1
CS2S01,Sistemas Operativos,Departamento de Computer Science,30,29,2020 - 1
EN4003,Ingeniería del Petróleo,Departamento de Energía,22,22,2020 - 1
CS2H01,Interacción Humano Computador,Departamento de Computer Science,11,10,2020 - 1
ME6006,Mecánica de Materiales,Departamento de Mecánica,87,82,2020 - 1
EN5001,Máquinas Eléctricas ,Departamento de Energía,35,36,2020 - 1
QI0029,Química Avanzada,Departamento de Química,19,18,2020 - 1
BI0001,Química Orgánica,Departamento de Bioingeniería,36,23,2020 - 1
BI0003,Fundamentos de Bioingeniería,Departamento de Bioingeniería,25,21,2020 - 1
EN0038,Energía Eólica,Departamento de Energía,12,12,2020 - 1
EN3004,Ingeniería Eléctrica,Departamento de Energía,15,9,2020 - 1
AM0011,Leyes y derechos ambientales,Departamento de Ingeniería Ambiental,14,7,2020 - 1
QI0028,Química Experimental,Departamento de Ciencias,116,81,2020 - 2
CS1D01,Estructuras Discretas I,Departamento de Computer Science,55,7,2020 - 2
EN7003,Máquinas Térmicas,Departamento de Energía,40,37,2020 - 2
IN0067,Sistemas de Información para Operaciones,Departamento de Industrial,42,45,2020 - 2
IN0069,Métodos de Teoría de Decisiones,Departamento de Industrial,48,41,2020 - 2
GH0014,Culturas de Gobernanza y Distribución de Poder,Dirección de Humanidades Artes y Ciencias Sociales,205,151,2020 - 2
EN0039,Energía Solar y Termosolar,Departamento de Energía,17,9,2020 - 2
EL6003,Control Automático,Departamento de Electrónica,51,41,2020 - 2
CS3P01,Computación paralela y distribuida,Departamento de Computer Science,22,22,2020 - 2
IN0057,Seguridad y Salud Ocupacional,Departamento de Industrial,133,134,2020 - 2
IN0058,Procesos de Manufactura,Departamento de Industrial,47,45,2020 - 2
IN0090,Ingeniería Financiera,Departamento de Industrial,44,45,2020 - 2
ME0001,Introducción a la Ingeniería de Minas,Departamento de Mecánica,54,38,2020 - 2
ME0007,Equipos y maquinaria minera,Departamento de Mecánica,25,19,2020 - 2
IN0074,Diseño de Redes de Cadenas de Suministro,Departamento de Industrial,11,22,2020 - 2
GH0011,Innovación y Desarrollo de Productos,Dirección de Gestión,229,191,2020 - 2
ME0022,Dinámica,Departamento de Mecánica,74,62,2020 - 2
IN8006,Análisis y Diseño de Sistemas de Manufactura y Servicios,Departamento de Industrial,26,30,2020 - 2
ME0027,Ingeniería de Mantenimiento,Departamento de Mecánica,40,21,2020 - 2
ME0025,Diseño de Elementos de Máquinas,Departamento de Mecánica,22,22,2020 - 2
QI0040,Diseño de Reactores Químicos I,Departamento de Química,8,7,2020 - 2
QI0044,Seminario en Ingeniería Química,Departamento de Química,7,5,2020 - 2
AM0044,Ecología avanzada,Departamento de Ingeniería Ambiental,11,6,2020 - 2
QI7005,Termodinámica Química,Departamento de Química,11,11,2020 - 2
EL5005,Diseño de Computadoras,Departamento de Electrónica,20,13,2020 - 2
QI0032,Análisis de Procesos Químicos,Departamento de Química,12,8,2020 - 2
EN0040,Tesis II,Departamento de Energía,7,7,2020 - 2
AM0010,Geologia General,Departamento de Ingeniería Ambiental,16,14,2020 - 2
AM0012,"Atmosfera, oceano y dinamica climatica",Departamento de Ingeniería Ambiental,16,17,2020 - 2
CI0002,Geometría Descriptiva,Departamento de Civil,25,22,2020 - 2
QI0030,Procesos Químicos en la Industria,Departamento de Química,10,8,2020 - 2
IN0083,Servicios Electrónicos,Departamento de Industrial,16,18,2021 - 0
AM0015,Desarrollo sustentable,Departamento de Ingeniería Ambiental,29,34,2021 - 0
QI6005,Transferencia de calor,Departamento de Química,21,24,2021 - 0
ME0022,Dinámica,Departamento de Mecánica,28,17,2021 - 0
GH0008,Gestión de Empresas,Dirección de Gestión,46,7,2021 - 0
ME0019,Física I,Departamento de Ciencias,78,10,2021 - 0
EN0021,Física II,Departamento de Ciencias,357,256,2021 - 1
EG0014,Tesis I,Dirección Académica,106,49,2021 - 1
ME0003,Seguridad en operaciones mineras,Departamento de Mecánica,23,14,2021 - 1
BI0006,Fisiología y Fisiopatología,Departamento de Bioingeniería,44,37,2021 - 1
BI0026,Biomateriales,Departamento de Bioingeniería,45,39,2021 - 1
BI0036,Ciencia y Cocina,Departamento de Bioingeniería,29,22,2021 - 1
CI0010,Diseño de Infraestructura,Departamento de Civil,5,3,2021 - 1
CS3700,Big Data,Departamento de Computer Science,18,24,2021 - 1
CS3P02,Cloud computing,Departamento de Computer Science,21,8,2021 - 1
AM1001,Introducción a la Ingeniería Ambiental,Departamento de Ingeniería Ambiental,34,34,2021 - 1
CS1D02,Estructuras Discretas II,Departamento de Computer Science,50,32,2021 - 1
AM0037,Ciencia de los Materiales,Departamento de Ciencias,215,166,2021 - 1
EN0040,Tesis II,Departamento de Energía,9,6,2021 - 1
EL0007,Procesamiento de Imágenes Digitales,Departamento de Electrónica,27,20,2021 - 1
EL0052,Sistemas Embebidos Interconectados,Departamento de Electrónica,31,25,2021 - 1
CS2100,Algoritmos y Estructura de datos,Departamento de Computer Science,44,34,2021 - 1
EL0042,Supervisión y Control por Computadora,Departamento de Electrónica,15,12,2021 - 1
CS2301,Redes y Comunicaciones,Departamento de Computer Science,8,8,2021 - 1
IN0069,Métodos de Teoría de Decisiones,Departamento de Industrial,45,34,2021 - 1
EN0025,Planificación y Economía de la Energía,Departamento de Energía,30,26,2021 - 1
EN8004,Auditoría y Eficiencia Energética,Departamento de Energía,23,12,2021 - 1
CS2901,Ingeniería de Software I,Departamento de Computer Science,49,46,2021 - 1
ME0022,Dinámica,Departamento de Mecánica,49,29,2021 - 1
BI0019,Procesos de Biotecnología I,Departamento de Bioingeniería,12,8,2021 - 1
AM0039,Microbiologia Ambiental,Departamento de Ingeniería Ambiental,15,9,2021 - 1
EL0066,Circuitos Eléctricos y Analógicos,Departamento de Electrónica,69,59,2021 - 1
